ExplorationRatio,AvgTime,AvgPerformance,StdPerformance
0.1,0.91924516,16.1393374536402,7.69760532888387
0.2,0.66724211,18.8336479800348,5.81520675481946
0.3,0.72753726,19.9073077155989,6.76151851926551
0.4,0.70905811,21.232682300588,5.61729757670554
0.5,0.81844279,22.9193023983656,5.46839466820527
0.6,0.91872297,19.3674867046269,4.2161132017786
0.7,0.92794437,16.7085071792081,5.43600347991209
0.8,0.83220372,18.0108122203038,8.32117822337783
0.9,0.82927078,22.4771424589912,4.80366201747786
